1,Starboy,The Weeknd,3135625,2017-01-01,['canadian pop'; 'canadian contemporary r&b'; 'pop']
2,Closer,The Chainsmokers,3015525,2017-01-01,['pop'; 'pop dance'; 'tropical house'; 'edm'; 'electropop'; 'dance pop']
3,Let Me Love You,DJ Snake,2545384,2017-01-01,['pop'; 'electronic trap'; 'dance pop'; 'edm'; 'pop dance'; 'pop rap']
4,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2356604,2017-01-01,['pop'; 'uk dance'; 'dance pop'; 'uk funky'; 'tropical house'; 'pop dance'; 'post-teen pop'; 'edm']
5,One Dance,Drake,2259887,2017-01-01,['toronto rap'; 'canadian pop'; 'canadian hip hop'; 'rap'; 'pop rap'; 'hip hop']
6,Fake Love,Drake,2137437,2017-01-01,['toronto rap'; 'canadian pop'; 'canadian hip hop'; 'rap'; 'pop rap'; 'hip hop']
7,24K Magic,Bruno Mars,2111599,2017-01-01,['pop'; 'post-teen pop'; 'dance pop']
8,Don't Wanna Know,Maroon 5,2107137,2017-01-01,['pop'; 'pop rock']
9,Black Beatles,Rae Sremmurd,2075732,2017-01-01,['rap'; 'mississippi hip hop'; 'melodic rap'; 'trap'; 'pop rap'; 'southern hip hop'; 'hip hop']
10,I Feel It Coming,The Weeknd,1949575,2017-01-01,['canadian pop'; 'canadian contemporary r&b'; 'pop']
11,Chantaje (feat. Maluma),Shakira,1893214,2017-01-01,['colombian pop'; 'dance pop'; 'latin pop'; 'pop'; 'latin']
12,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,1857252,2017-01-01,['pop'; 'post-teen pop'; 'uk pop'; 'dance pop']
13,Say You Won't Let Go,James Arthur,1812335,2017-01-01,['pop'; 'uk pop'; 'talent show'; 'post-teen pop']
14,Bad and Boujee (feat. Lil Uzi Vert),Migos,1801707,2017-01-01,['rap'; 'atl hip hop'; 'trap'; 'pop rap']
15,Cold Water (feat. Justin Bieber & MØ),Major Lazer,1731191,2017-01-01,['moombahton'; 'pop'; 'edm'; 'dance pop'; 'pop dance'; 'pop rap'; 'electro house']
16,In the Name of Love,Martin Garrix,1647944,2017-01-01,['dutch edm'; 'pop dance'; 'edm'; 'tropical house'; 'pop'; 'progressive house'; 'dance pop']
17,Side To Side,Ariana Grande,1527676,2017-01-01,['pop'; 'post-teen pop'; 'dance pop']
18,Call On Me - Ryan Riback Extended Remix,Starley,1507320,2017-01-01,['aussietronica'; 'tropical house'; 'pop dance']
19,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,1480601,2017-01-01,['dance pop'; 'pop']
20,Don't Let Me Down (feat. Daya),The Chainsmokers,1438471,2017-01-01,['pop'; 'pop dance'; 'tropical house'; 'edm'; 'electropop'; 'dance pop']
21,Treat You Better,Shawn Mendes,1409430,2017-01-01,['pop'; 'canadian pop'; 'viral pop'; 'post-teen pop'; 'dance pop']
22,Just Hold On,Steve Aoki,1375005,2017-01-01,['edm'; 'pop dance'; 'electro house'; 'tropical house'; 'dance pop'; 'pop']
23,My Way,Calvin Harris,1341827,2017-01-01,['uk dance'; 'pop'; 'dance pop'; 'edm'; 'house'; 'progressive house'; 'pop dance'; 'electro house']
24,Starving,Hailee Steinfeld,1338596,2017-01-01,['pop'; 'post-teen pop'; 'dance pop']
25,Bad Things (with Camila Cabello),Machine Gun Kelly,1257334,2017-01-01,['ohio hip hop'; 'pop rap']
26,Heathens,Twenty One Pilots,1255839,2017-01-01,['modern rock'; 'rock']
27,Cheap Thrills,Sia,1238279,2017-01-01,['pop'; 'australian dance'; 'australian pop'; 'dance pop']
28,All We Know,The Chainsmokers,1238138,2017-01-01,['pop'; 'pop dance'; 'tropical house'; 'edm'; 'electropop'; 'dance pop']
29,Mercy,Shawn Mendes,1215550,2017-01-01,['pop'; 'canadian pop'; 'viral pop'; 'post-teen pop'; 'dance pop']
30,Reggaetón Lento (Bailemos),CNCO,1164530,2017-01-01,['boy band'; 'latin pop'; 'reggaeton'; 'latin']
31,Broccoli (feat. Lil Yachty),Shelley FKA DRAM,1149938,2017-01-01,['virginia hip hop'; 'alternative r&b'; 'underground hip hop'; 'trap'; 'pop rap'; 'rap']
32,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,1112074,2017-01-01,['pop rap'; 'dance pop'; 'pop']
33,Safari,J Balvin,1112032,2017-01-01,['reggaeton colombiano'; 'reggaeton'; 'trap latino'; 'latin']
34,This Is What You Came For (feat. Rihanna),Calvin Harris,1094062,2017-01-01,['uk dance'; 'pop'; 'dance pop'; 'edm'; 'house'; 'progressive house'; 'pop dance'; 'electro house']
35,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,1059658,2017-01-01,['pop'; 'post-teen pop'; 'dance pop'; 'girl group'; 'talent show']
36,Scars To Your Beautiful,Alessia Cara,1031598,2017-01-01,['pop'; 'post-teen pop'; 'canadian pop'; 'canadian contemporary r&b'; 'dance pop'; 'electropop']
37,Vente Pa' Ca (feat. Maluma),Ricky Martin,1016899,2017-01-01,['latin pop'; 'puerto rican pop'; 'mexican pop'; 'latin'; 'dance pop']
38,All Night,The Vamps,1003894,2017-01-01,['pop'; 'post-teen pop'; 'boy band'; 'dance pop']
39,By Your Side,Jonas Blue,971615,2017-01-01,['tropical house'; 'uk dance'; 'pop dance'; 'pop'; 'dance pop'; 'edm']
40,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,971342,2017-01-01,['pop'; 'viral pop'; 'post-teen pop'; 'dance pop']
41,Caroline,Aminé,963128,2017-01-01,['portland hip hop'; 'rap'; 'pop rap'; 'hip hop'; 'underground hip hop']
42,Now and Later,Sage The Gemini,959972,2017-01-01,['pop rap'; 'hyphy'; 'dance pop'; 'southern hip hop'; 'trap'; 'rap']
43,Love Me Now,John Legend,950832,2017-01-01,['pop soul'; 'neo soul'; 'pop'; 'r&b'; 'urban contemporary']
44,The Mack,Nevada,949200,2017-01-01,['eurodance']
45,Alone,Alan Walker,936813,2017-01-01,['pop dance'; 'electro house']
46,Work,Rihanna,899368,2017-01-01,['barbadian pop'; 'pop'; 'dance pop'; 'post-teen pop'; 'urban contemporary']
47,Otra vez (feat. J Balvin),Zion & Lennox,893174,2017-01-01,['latin hip hop'; 'reggaeton'; 'latin'; 'trap latino'; 'reggaeton flow']
48,I Would Like,Zara Larsson,892922,2017-01-01,['pop'; 'scandipop'; 'dance pop'; 'swedish electropop'; 'post-teen pop'; 'tropical house'; 'swedish pop'; 'pop dance'; 'electropop'; 'edm']
49,Hear Me Now,Alok,873494,2017-01-01,['pop nacional'; 'slap house'; 'electro house']
